email_body,subject_line,translation
"Sally,  Here's the first draft of a presentation geared toward prospective customers for our mid and back office services.
The message is more of a fact-finding than sales message.
Would appreciate your feedback.
(Jeff Harbert has not given me his take on it as of yet.)
Thanks,
",Customers - Getting the Requirements.ppt,"[수신자],

여기 미드오피스 및 백오피스 서비스의 잠재 고객을 대상으로 한 프레젠테이션 초안이 있습니다.
이 초안은 판매 메시지보다는 사실 조사에 중점을 두고 작성되었습니다.
귀하의 피드백을 부탁드립니다.
([이름]는 아직 이에 대한 의견을 제공하지 않았습니다.)

감사합니다."
"In order to maximize the potential synergies between the various mid- and back- office functions, to decrease replication errors, and to increase communication standards; are there any plans of creating a platform or reference center to bridge the differences between the systems, processes, and terminology of the various departments.
Perhaps a common resource center offering access to on-line system manuals and business unit overviews (which currently exist only in paper form or in some cases within the actual system database).
The reason: With Enron's size and transaction volume, many of the functions and the data managed by various groups within Enron (i.e.
credit, risk, settlements, volume management, global contracts, global counterparties, global rates, and the commercial systems) are fragmented.
Having participated in various process reviews and trouble-shooting/clean-up projects there seems to be a large disconnect between groups operating in various systems.
These disconnects; rather they be lack of information or understanding of how data flows between systems, how the data managed within each system impacts other upstream or downstream systems, or how the business processes within one group/system impacts the overall functionality of other groups, create large cracks producing an opportunity for mismanaged data, incomplete business reports, and increased risk to Enron.
The ideal objective; increase communication standards through a better understanding of system data functions/requirements and business processes, decrease system downtime and replication errors through a better understanding of the data relationships between systems, maximize department-to-department synergies (left hand knows what the right hand is doing), eliminate repetition, and further reduce potential risks to Enron due to information/business process oversight.
","Additional New Works; 5/2/01 Floor Meeting, 37th Floor","[수신자],

다양한 중간 및 백오피스 기능 간의 잠재적 시너지를 극대화하고, 복제 오류를 줄이며, 커뮤니케이션 표준을 향상시키기 위한 플랫폼 또는 참조 센터를 구축할 계획이 있는지 궁금합니다.

이 플랫폼은 아마도 온라인 시스템 매뉴얼과 사업부 개요에 액세스할 수 있는 공통 리소스 센터일 것입니다. 현재 이 자료들은 종이 형태로만 존재하거나 일부 경우에는 실제 시스템 데이터베이스 내에만 있습니다.

그 이유는 [기업명]의 규모와 거래량이 크기 때문에, 다양한 부서(예: 신용, 위험, 정산, 거래량 관리, 글로벌 계약, 글로벌 상대방, 글로벌 요율 및 상업 시스템)에서 관리하는 많은 기능과 데이터가 분산되어 있다는 점입니다.

다양한 프로세스를 검토하고 문제 해결 및 정리 프로젝트에 참여하면서, 여러 시스템에서 운영되는 그룹 간에 큰 단절이 있다는 점을 알게 되었습니다. 이러한 단절은 시스템 간 데이터 흐름에 영향을 미치거나, 한 시스템 내의 데이터가 다른 상류 또는 하류 시스템에 미치는 영향, 또는 그룹 내 비즈니스 프로세스가 다른 그룹의 전반적인 기능에 미치는 영향에 대한 정보 부족으로 인해 발생합니다. 그 결과, 잘못된 데이터 관리, 불완전한 비즈니스 보고서, [기업명]에 대한 잠재적 위험을 초래하는 큰 균열이 발생하고 있습니다.

이상적인 목표는 시스템 데이터 기능/요구 사항 및 비즈니스 프로세스에 대한 이해를 향상시켜 커뮤니케이션 표준을 높이고, 시스템 간 데이터 관계를 더 잘 이해하여 시스템 다운타임과 복제 오류를 줄이며, 부서 간 시너지를 극대화하는 것입니다. 또한, 정보를 더 효율적으로 관리하고 반복을 제거하며, 정보 및 비즈니스 프로세스 감독으로 인해 [기업명]에 발생할 수 있는 잠재적 위험을 줄이는 것입니다.

감사합니다."
"Please review and abide by the following travel policy and best practices.
Feel free to call either Tina Spiller or Peggy McCurley if you have any travel policy questions.
Thank you.
",Enron Net Works' T&E Policy and Best Travel Practices,"[수신자],

다음 여행 정책과 모범 사례를 검토하고 준수해 주세요.
여행 정책에 대한 질문이 있으면 [이름] 또는 [이름1]에게 전화해 주세요.

감사합니다."
"Sally,  You had mentioned in a voice mail that you have a spreadsheet that helps track the assets that NewCo is looking at.
I would like to work off the same sheet for consistency.
Also, when you get the chance I'd like to sit down and discuss Dave's plan of moving all the 'risk mgmt' team on the 31st  floor of ECN.
Regards,
",file,"[수신자],
음성 메일에서 [기업명]가 살펴보는 자산을 추적하는 데 도움이 되는 스프레드시트가 있다고 언급했습니다.
저는 일관성을 위해 같은 시트에서 작업하고 싶습니다.
또한, 시간이 되면 [장소]에 모든 '[부서]' 팀을 옮기는 [이름]의 계획에 대해 앉아서 논의하고 싶습니다.

감사합니다.
"
"Hi all,  Please find attached the main model assumptions as discussed yesterday.
I have not included the IT Hardware and Software assumptions since we need to come up with a new set of numbers based on real expenditures.
I am also attaching a table that Fred forwarded me with a more accurate counterparty count (including the breakdown by type).
This includes the total companies for the North American Market and we need to determine the targeting criteria within each group.
This number should allows us to obtain a better estimate of the total market size.
It'll be great if you can take a look and let me know what makes sense, what doesn't, what do you think is missing, etc.
I can be reached at extension 54658.
Thanks!
",Back Office Model Assumptions,"안녕하세요 여러분,

어제 논의한 주요 모델 가정을 첨부합니다.
실제 지출에 기반한 새로운 숫자를 내야 하기 때문에 IT 하드웨어 및 소프트웨어 관련 가정은 포함하지 않았습니다.
또한, [이름]가 더 정확한 상대방 수(유형별 세부 정보 포함)를 담은 표를 첨부합니다.
여기에는 시장의 전체 회사가 포함되며 각 그룹 내에서 타겟팅 기준을 결정해야 합니다.
이 숫자를 통해 전체 시장 규모를 더 잘 추정할 수 있습니다.

살펴보시고 무엇이 합리적이고, 무엇이 빠졌다고 생각하는지 피드백을 주시면 감사하겠습니다.
궁금한 점이 있으시면 내선 번호 [전화번호]로 연락 주세요.

감사합니다!"
"Sally,  Thanks for taking the time to discuss origination opportunities in EWS.
Per our discussion, I have attached a few presentations we have used during executive briefings with customers.
I have also attached a copy of my resume'.
Regards,
",Delivery Presentations,"안녕하세요 [수신자],

[기업명]에서 기회에 대해 논의하는 데 시간을 내주셔서 감사합니다.
토론에 따라 고객과의 임원 브리핑에서 사용한 몇 가지 프레젠테이션을 첨부했습니다.
또한 이력서 사본도 첨부하였습니다.

감사합니다.

[발신자]"
"Hi Sally -   Just wanted to let you know that I have recently begun collaborating with an ebusiness consultant from CGI - a large Canadian systems integrator with an energy practice - on a demand-generation piece that should be published in the trades in a few months.
The slant is on the scaling systems - IT and people - and the reduction in costs brought about by mid and back office systems affected by a sharp increase in online trading in the energy sector.
Eventually, will probably be looking for some quotes and input from you or your ops people.
I'll keep you up to date.
Thanks,
",FYI - Article in process,"안녕하세요 [수신자],

저는 최근 [국가/지역]의 대형 시스템 통합업체이자 [산업명]에 종사하는 [회사명]의 e비즈니스 컨설턴트와 협력을 시작했습니다. 몇 달 안에 거래에 게재될 수요 창출에 관한 글을 쓰기 시작했습니다.

현재 주력하고 있는 관심 분야는 확장 시스템(IT 및 인력)과 [산업명] 부문에서 온라인 거래의 급증으로 영향을 받는 중간 및 백오피스 시스템을 통한 비용 절감입니다.

향후에는 귀하 또는 귀하의 운영진으로부터 견적과 의견을 요청할 계획입니다.

최신 소식을 계속 공유드리겠습니다.

감사합니다.
[발신자]
"
"Sally,  Attached is the updated of the headcount file I sent you on Friday.
I misunderstood the original request and provided December 31 plan for all four years.
I have now updated the file with December 31 actual headcount numbers for 1998 through 2000 and plan for 2001.
I have also updated the EGM numbers and inserted a summary tab.
If you have any questions, let me know.
Thanks,
",Updated '98 - '01 Headcount File,"안녕하세요 [수신자],

금요일에 보낸 인원수 파일을 업데이트하여 첨부했습니다.

원래 요청을 오해하여 몇 년간의 계획을 제공했습니다. 이제 이전 몇 년간의 실제 인원수와 [현재 연도]의 계획을 파일로 업데이트했습니다.

또한 [직업 입력] 숫자를 업데이트하고 요약 탭을 삽입했습니다.
궁금한 사항이 있으면 알려주세요.

감사합니다.
[발신자]
"
"ttached are the revenues and the volumes per counterparty that you requested.
Please note that the revenue and OPM cost information is in Canadian dollars.
I will be forwarding a copy of our MSA Agreement template shortly.
Please call me once you've had a chance to review the information.
",Calgary outsourcing information,"안녕하세요 [수신자],

첨부된 것은 귀하가 요청하신 상대방당 매출과 거래량입니다.
매출과 OPM 비용 정보는 [통화 단위]로 되어 있습니다.
저는 곧 MSA 계약서 템플릿 사본을 전달해 드리겠습니다.

정보를 검토해 보신 후 전화해 주십시오.

감사합니다.
[발신자]"
"Due to the announcement Friday of the new organization of the trading groups to EWS, and the decision to include the risk control groups as part of Enron NetWorks, please hold off on making any of the below noted moves until we have resorted everything out.
We will endeavor to have this clarified by mid-week to enable us to make everything effective as of April 30.
Thanks
",Holdup on EES Transfers to EWS,"[수신자],

금요일에 [기업명]의 거래 그룹의 새로운 조직이 발표되었고, 위험 관리 그룹을 [회사명]의 일부로 포함하기로 결정했기 때문에, 모든 것을 해결할 때까지 아래에 언급된 조치를 취하지 마십시오.
[날짜]부터 모든 것을 효과적으로 적용할 수 있도록 주중 중반까지 이를 명확히 하려고 노력할 것입니다.

감사합니다.
[발신자]"
"Kerry,  As you are probably aware, the EES Risk Control organization is moving under Sally as of April 30, 2001.
Our initial thought was we would keep all the former EES employees together in a new ENA accounting entity, but have now decided that the Risk Control group needs to be captured as part of Enron NetWorks.
These were previously set up under a new ENA company number (#1596).
I don't know if within SAP we can simply repoint the profit and cost centers set up below to roll-up under ENW now instead of ENA, if not, we will need five new ones set up as follows:  	Executive (Meredith Eggleston)-27101 [Simper, Keith]  ,150260 	Risk Analytics (Neil Hong)-27102 [Simper, Keith]  ,150261  	Strategic Operations, Process & Systems (Scott Mills)-27103 [Simper, Keith]  150262  	Deal Capture/Confirmation (Meredith Eggleston)-27104 [Simper, Keith]  ,150263  	Global Data Management (Mark Evans)27105 [Simper, Keith]  ,150264   Thanks and don't hesitate to call with questions.
Thanks
",Transfer of EES Risk Control Employees,"[수신자],

아마 알고 계시겠지만, [프로젝트] 위험 관리 조직은 [날짜]부터 [이름] 밑으로 이전합니다.
저희는 처음에 모든 전 [프로젝트] 직원을 새로운 [회사명] 회계 법인에 모아두려고 했지만, 이제 위험 관리 그룹을 [회사명]의 일부로 통합해야 한다고 결정했습니다.
이들은 이전에 새로운 [회사명] 회사 번호([전화번호])로 설정되었습니다.

SAP 내에서 아래에 설정된 이익 및 비용 센터를 [회사명] 대신 [부서명]으로 롤업하도록 간단히 다시 지정할 수 있는지 모르겠습니다.
그렇지 않은 경우 다음과 같이 5개의 새 센터를 설정해야 합니다.
임원([이름]) - [전화번호]
[이름1] - [전화번호1]
[이름2] - [전화번호2]
[이름3] - [전화번호3]
[이름4] - [전화번호4]

감사합니다. 질문이 있으면 언제든지 전화주세요.

감사합니다.
[발신자]"
"Sally,  I am also working with the Commodity Logic people, and we thought it will be great if we can sit down with the CL Module Managers and some of your people (maybe James Scribner, Beth Apollo and Leslie Reeves) to talk about the pricing assumptions and estimates for Commodity Logic.
I think your group can add a lot value here by validating prices (would you be willing to pay x dollars for the product?, etc.).
Do you think a meeting is a good idea?
If not, can you think of a better way to capture this valuable input?
Thanks for your help!
",Commodity Logic,"[수신자],

저도 [프로젝트] 사람들과 함께 일하고 있는데, [부서명] 모듈 관리자와 여러분의 사람들(아마도 [이름], [이름1], [이름2])과 함께 [프로젝트]의 가격 가정과 추정에 대해 이야기할 수 있다면 좋을 것 같습니다.
저는 여러분의 그룹이 가격을 검증함으로써 (제품에 [금액]을 지불할 의향이 있습니까? 등) 많은 가치를 더할 수 있다고 생각합니다.
회의를 하는 건 어떨까요?
회의가 필요 없다고 생각하신다면, 귀중한 의견을 수집할 더 나은 방법은 어떤 게 있을까요?

도와주셔서 감사합니다!
[발신자]"
"All,  Here's a presentation outline that can be used to spark conversation at an initial customer meeting.
Please forward any comments back and I'll incorporate them.
Thanks,
",Customers - Getting the Requirements.ppt,"모두,

여기 초기 고객 미팅에서 대화를 시작하는 데 사용할 수 있는 프레젠테이션 개요가 있습니다.
모든 의견을 다시 전달해 주시면 통합하겠습니다.

감사합니다.
[발신자]"
"These guys are new - system is ready for beta testing.
Offering an ASP solution for mid and back offices, including lots of reporting and credit.
May 3, 2001---A new middle and back office Application Service Provider (ASP) solution has been launched by Derigen Consulting.
The Derigen Trade Center is designed to provide small and mid-sized trading and marketing operations an entry point into a comprehensive trading system.
(5/4/2001)
",Article detailing a new competitor in the back office outsourcing  space,"이 사람들은 새로운 사람들입니다. 시스템은 베타 테스트를 위해 준비되었습니다.
중간 및 백오피스를 위한 ASP 솔루션을 제공하며, 여기에는 많은 보고 및 신용이 포함됩니다.

[날짜] --- 새로운 중간 및 백오피스 애플리케이션 서비스 공급자(ASP) 솔루션이 [회사명]에서 출시되었습니다.
[회사명] [시스템명]은 소규모 및 중규모 거래 및 마케팅 운영에 포괄적인 거래 시스템에 대한 진입점을 제공하도록 설계되었습니다.

[날짜]"
"Folks have been asking just who is participating in the 2002 Business-Civic Leadership Forum that starts tonight.
Here is the roster.
Marilou A. Schopper Senior Vice President Center for Houston's Future
",The Center -- Winter 2002 Business-Civic Leadership Forum -- Class  Roster,"[수신자]님,

사람들이 오늘 밤부터 시작되는 [포럼명]에 누가 참여할지 묻고 있습니다.
다음은 참석자 명단입니다.

감사합니다.
[발신자], [기관명]의 수석 부사장
"
"I wanted to take a minute to commend all of you on a job well done in successfully integrating WebModal and implementing the operational processes for Freight Markets in a very short period of time.
I have been involved in several acquisitions over the years here at Enron and I have never seen one that went as well as WebModal from an operational standpoint.
Everyone came together as a team and ensured that integration timelines were met and that the business was allowed to continue its daily operations with minimal problems internally or to our external counterparties.
Again, congratulations on a great job.
Thanks for all of your hard work.
Brent
",EFM Operations,"[수신자]님,

저는 [기업명1]을 성공적으로 통합하고 매우 짧은 기간 내에 [부서명]의 운영 프로세스를 구현한 모든 분께 칭찬의 말씀을 드리고 싶습니다.
저는 [기업명]에서 수년간 여러 인수에 참여했지만 운영 측면에서 [기업명1]만큼 잘 된 인수는 본 적이 없습니다.
모두가 팀으로 뭉쳐 통합 일정을 준수하고 회사가 내부적으로나 외부 거래처에 최소한의 문제만 발생시키고 일상적인 운영을 계속할 수 있도록 했습니다.
다시 한 번, 훌륭한 일을 축하드립니다.
모든 노고에 감사드립니다.

[발신자]"
"The following is an update of the last two meetings of the FASB and decisions made regarding goodwill and intangible assets:  The Board reiterated that they intend to release the statement in final form in June 2001 despite publicity to the contrary.
The Board decided that goodwill should be tested for impairment annually rather than on an events-and-circumstances basis as previously proposed.
Additionally, goodwill should be tested for impairment during interim periods if an event or circumstance occurs between annual tests that might reduce the fair value of a reporting unit below its book value.
It should also be tested for impairment on an interim basis when (1) a more-likely-than-not expectation exists that a reporting unit or a significant portion of a reporting unit will be sold or disposed of, or (2) a significant asset group within a reporting unit is tested for recoverability under SFAS 121.
The Board changed the proposed method for determining the amount of goodwill to be included in the net assets to be disposed of.
Under the new method, a portion of the reporting unit's goodwill will be allocated to all divestitures.
I do not believe that the Board gave full consideration to all of the issues surrounding this decision.
In particular, they did not address application to divestitures that result in a loss prior to or as a result of goodwill allocation and disposals of equity, cost or fair value method investments.
additionally, the calculation itself is arbitrary and onerous in that fair values of the reporting unit and its recognized and unrecognized assets and liabilities will have to be determined each time a divestiture is done.
I will be consulting with AA on this to see if they can encourage the Board to give thought to these issues prior to releasing the final statement since they do not intend to discuss the issue further at this time.
The Board changed the proposed method of allocating goodwill upon an acquisition to allow for allocation of goodwill in an acquisition to a reporting unit even if none of the assets or liabilities of the acquired company have been allocated to that reporting unit.
Please feel free to call me if you have any questions on the latest developments.
Thanks.
Mary
",Goodwill Update,"[수신자]님,

다음은 FASB의 마지막 두 회의와 영업권 및 무형자산에 대한 결정에 대한 업데이트입니다. 이사회는 반대 홍보에도 불구하고 [날짜]에 최종 형태로 보고서를 발표할 계획이라고 반복했습니다.
이사회는 영업권에 대해 이전에 제안된 대로 사건 및 상황 기준이 아닌 매년 손상 여부를 테스트해야 한다고 결정했습니다.
또한 연간 테스트 사이에 보고 단위의 공정가치를 장부 가치보다 낮출 수 있는 사건이나 상황이 발생하는 경우 중간 기간에 영업권 손상 여부를 테스트해야 합니다.
또한 (1) 보고 단위 또는 보고 단위의 상당 부분이 매각되거나 처분될 가능성이 더 높을 것으로 예상되거나 (2) 보고 단위 내의 상당한 자산 그룹이 SFAS 121에 따라 회수 가능성을 테스트하는 경우 중간 기간에 손상 여부를 테스트해야 합니다.
이사회는 처분될 순자산에 포함될 영업권 금액을 결정하기 위한 제안된 방법을 변경했습니다.
새로운 방법에 따라 보고 단위의 영업권 일부가 모든 매각에 할당됩니다.
저는 이사회가 이 결정을 둘러싼 모든 문제를 충분히 고려했다고 생각하지 않습니다.
특히, 영업권 할당 전 또는 그 결과로 손실이 발생하는 매각 및 자본, 비용 또는 공정가치 방법 투자 처분에 대한 적용은 다루지 않았습니다.
또한 계산 자체가 임의적이고 부담스러워서 보고 단위와 인정되고 인정되지 않은 자산 및 부채의 공정가치는 매각이 이루어질 때마다 결정되어야 합니다.
저는 [기업명]과 협의하여 최종 보고서를 발표하기 전에 이사회가 이러한 문제에 대해 생각해 보도록 격려할 수 있는지 확인할 것입니다. 현재 이 문제를 더 논의할 생각이 없기 때문입니다.
이사회는 인수 시 영업권을 할당하는 제안된 방법을 변경하여 인수된 회사의 자산이나 부채가 보고 단위에 할당되지 않았더라도 인수 시 영업권을 보고 단위에 할당할 수 있도록 했습니다.
최신 동향에 대해 궁금한 사항이 있으면 언제든지 전화주세요.

감사합니다.
[발신자]"
"Meredith,  We have done some more work on this PRC attendee list.
Sally added:  Mark & Colette to Global pre-meeting You, Neil & Scott to Risk Mgmt pre-meeting You & Mark to final meeting.
Please let me know Monday, if possible, if this is okay, or if any other changes need to be made.
Thanks for your help!
!
",PRC Attendee Lists,"안녕하세요 [수신자],

우리는 [프로젝트/위원회] 참석자 명단에 대해 몇 가지 작업을 더 했습니다. [이름]가 다음과 같이 추가했습니다:

[이름1]와 [이름2]은 글로벌 사전 회의에,

[이름3]과 [이름4]은 위험 관리 사전 회의에,

[이름5]와 [수신자]는 최종 회의에 참석하면 됩니다.

이대로 괜찮은지, 아니면 다른 변경이 필요한지 확인 부탁드립니다. 가능하다면 월요일에 알려주시면 감사하겠습니다.

도와주셔서 감사합니다!

[발신자]"
"The Board decided in today's meeting to delay the effective date for adoption of the goodwill and intangible asset portion of the business combinations exposure draft to fiscal years beginning after December 15, 2001, permitting early adoption for fiscal years beginning after March 31, 2001 if financial statements for the first quarter have not yet been reported.
This means that goodwill amortization will continue through year-end.
Discussion is continuing on when the first impairment analysis will be required given the new adoption date and whether or not initial impairments may be reported as a change in accounting principle.
Adoption of the business combinations portion of the exposure draft is still anticipated to be required for acquisitions subsequent to June 30, 2001.
The main implication of this is that more excess purchase price is expected to be allocated to identifiable intangible assets rather than goodwill for acquisitions completed after this date.
The pooling-of-interests method of accounting for business combinations is still anticipated to be eliminated as of June 30, 2001.
",Goodwill Exposure Draft,"[수신자],

이사회는 오늘 회의에서 기업 결합 노출 초안의 영업권 및 무형자산 부분 채택의 발효일을 [날짜] 이후 시작되는 회계연도로 연기하기로 결정했으며, 1분기 재무제표가 아직 보고되지 않은 경우 [날짜] 이후 시작되는 회계연도에 대한 조기 채택을 허용합니다.
이는 영업권 상각이 연말까지 계속된다는 것을 의미합니다.
새로운 채택일을 감안할 때, 첫 번째 손상 분석이 필요한 시점과 초기 손상을 회계 원칙의 변경으로 보고할 수 있는지 여부에 대한 논의가 계속되고 있습니다.
[날짜] 이후의 인수에는 여전히 노출 초안의 기업 결합 부분 채택이 필요할 것으로 예상됩니다.
이것의 주요 의미는 이 날짜 이후에 완료된 인수의 경우 영업권보다는 식별 가능한 무형자산에 더 많은 초과 매수 가격이 할당될 것으로 예상된다는 것입니다.
기업 결합에 대한 이익 풀링 방법은 [날짜]부터 폐지될 것으로 예상됩니다.

감사합니다.
[발신자]"
"There seems to be some confusion around which DPR captures credit reserve and consumption premium reserves and which balance sheet these items fall on.
My understanding in talking with both Don and Kevin is that since EES is, on a go-forward basis, being granted origination (which would be the residual after all reserves are applied) that all prudency/reserve items will rest on the WhEES DPR.
The EES DPR will be just a single line net origination number.
We do need to capture the activity related to DSM in the EES DPR (including some portion of credit reserve and drift) but until we have the system capability to capture this it may just have to be part of the whole WhEES bucket.
This tracks with the idea that all future exposures (be they be wholesale price movement, tariff movement, credit exposure, etc.)
be borne by EWS.
If so, they need the reserves to properly offset any realized activity.
The balance sheet reserves associated with these items already rest in the ledgers that are rolling up underneath EWS now.
Reflecting the positions on the WhEES DPR will make them consistent with how we are capturing them from an accounting perspective.
If anyone disagrees with this treatment, please respond to all the parties above so we can resolve this issue.
If there are no objections I would recommend moving the credit reserve over at the next possible point.
Wade  P.S.
This thinking only reflects how things are currently contemplated, if the mix around what is with EWS vs. EES (i.e., accounts receivable) we may want to rethink the credit reserve portion.
",Credit Reserve,"[수신자],

어느 DPR이 신용 준비금과 소비 프리미엄 준비금을 포착하는지, 그리고 이러한 항목이 어느 대차대조표에 속하는지에 대한 혼란이 있는 듯합니다.
[이름]과 [이름1]과 이야기를 나눈 결과, EES가 앞으로 시작(모든 준비금이 적용된 후의 잔여)을 허가받고 있기 때문에 모든 신중성/준비금 항목이 WhEES DPR에 속하게 됩니다.
EES DPR은 단일 라인 순 시작 번호일 뿐입니다.
EES DPR에서 DSM과 관련된 활동을 포착해야 하지만(신용 준비금과 드리프트의 일부 포함) 이를 포착할 시스템 기능이 생길 때까지는 전체 WhEES 버킷의 일부가 되어야 할 수도 있습니다.
이는 모든 미래 노출(도매 가격 변동, 관세 변동, 신용 노출 등)이 EWS에서 부담해야 한다는 생각과 일치합니다.
그렇다면 실현된 활동을 적절히 상쇄하기 위해 준비금이 필요합니다.
이러한 항목과 관련된 대차대조표 준비금은 현재 EWS 아래에서 롤업되는 원장에 이미 있습니다.
WhEES DPR에 대한 입장을 반영하면 회계 관점에서 이를 포착하는 방식과 일관성을 유지할 수 있습니다.
이 처리에 동의하지 않는 사람이 있으면 위의 모든 당사자에게 응답하여 이 문제를 해결할 수 있도록 하십시오.
이의가 없다면 다음 가능한 지점에서 신용 준비금을 옮기는 것이 좋습니다.

감사합니다.
[발신자]

P.S. 이러한 생각은 현재 상황을 반영한 것일 뿐이며, EWS와 EES(즉, 미수금)의 혼합이 신용 준비금 부분을 재고해야 할 수도 있습니다."
"I am due to get the revised Risk Management reorganization groupings this afternoon.
At that point, additional cost centers may need to be set up so it will probably be the first of next week before any transfers could begin to happen.
Given that it will be the third week of May at that point, the effective date will probably have to be June 1, 2001 for SAP cost center reporting (correct)?
In any event, to enable us to have as clean a cut-off as possible for financial reporting purposes, I would like to wait and make these moves effective July 1, 2001.
That way their existing cost centers are pure for a full quarter and the new cost centers start off clean in a new quarter.
This will also help us from a planning perspective in developing a clean go-forward budget for these groups.
This will have no impact on our financial reporting, we will simply allocate costs to EWS from EES, rather than EES receive a charge from EWS for the entire second quarter.
Unless I hear strong objection to this, we will work toward a July 1, 2001 cutover.
Wade
",People Transfer,"[수신자]님,

오늘 오후에 개정된 위험 관리 재편 그룹을 받을 예정입니다. 그 시점에 추가 비용 센터를 설정해야 할 수 있으므로 아마도 다음 주 첫째 날이 되어서야 이전이 시작될 것입니다.

그 시점이 [날짜]이므로 SAP 비용 센터 보고의 발효일은 아마도 [날짜]이어야 할 것입니다 (맞나요?).

어쨌든 재무 보고 목적으로 가능한 한 명확한 마감일을 정하기 위해 [날짜]부터 이러한 조치를 취하고 싶습니다. 그렇게 하면 기존 비용 센터가 전체 분기 동안 순수하고 새 비용 센터는 새 분기에 깨끗한 상태로 시작합니다. 또한 이러한 그룹에 대한 깨끗한 진행 예산을 개발하는 계획 관점에서도 도움이 될 것입니다.

이것은 재무 보고에 아무런 영향을 미치지 않으며 [부서1]에서 [부서2]에 비용을 할당하기만 하면 되며 [부서1]가 [분기] 전체에 걸쳐 [부서2]에서 요금을 받는 것은 아닙니다.

강력한 반대가 없다면 이것으로, 우리는 [날짜]의 전환을 향해 노력할 것입니다.

감사합니다.
[발신자]
[전화번호]"
"This mail is the third in the series regarding the acceptance of RiskTrac VaR for UK Power.
Please see the previous 2 days which will provide the history.
Essentially we have now reached the stage where we can explain the jump in VaR from moving from the VaR spread sheet to RiskTrac based largely on the good work that Fergus Trenholme - London Risk Management and Stig Faltinsen - London Research have done  (it has been a team effort as many others have been called in as appropriate and I would like to thank them too).
A full analysis is contained in the note from Fergus and Stig below but the key points to note are:  the changing of the input parameters partially explains the difference in the VAR number between the 2 systems but not completely (including the change in factor loadings) the vast majority of the difference in the VAR numbers between the 2 systems is caused by the splitting of the volumetric position into the (primary and secondary) component curves in RiskTrac.
In RiskTrac PPP is currently set as the primary curve even though 75% of the position is on the station gate curve where as in the spreadsheet the whole position is against the PPP curve  As a result of us now being able to isolate and explain the jump in VaR from moving to RiskTrac we will be reporting this number from now on.
That said does the VaR number sound right ?
The numer is theoretically but is the theory close to reality in the Uk Power market ?The RiskTrac calculated $25m VaR is a 1 day VaR and the  methodology would imply it should be broken 1 in 20 business days.
Based on historical P&Ls this has not been the case and so it does not pass the ""sense check"".
(note that the original $13m VaR was only broken once or twice in the last year).
There are many potential explanations why, but if we think about how the price and volatility curves move they typically only move at the short end (ie only the first 2 years) and the component VarR for this period is in the order of $8m.
This could therefore imply that the volatilities we are using to calculate the VaR are too high.
The book undoubtedly contains significant risk but due to market illiquidity more consideration should be given to ""jumps"" or ""shocks"".
The book does posses increased fat tail risk at this lower VaR level which is not  captured in the current VaR calculation.
Outstanding issues / work  Based on the second bullet point above consideration needs to be given to changing the primary and secondary curve settings as well as the correlations and factor loadings for and between all the curves.
The impact of any such changes will need to be quantified.
Fergus and Stig aim to work with Houston research and the business on this over the next few days / week(s) and will be providing a regular update to those on this mail list.
Additional work needs to done to assess whether the VaR  number  / methodology being calculated / employed by RiskTrac truly represents the expected volatility and performance of the portfolio and truly represents the 1 day earnings risk for 19 out of 20 days.
It would also be appropriate, given the nature of the market and the term structure of the portfolio, to assess the fat tail risk being run.
I am away for the next 2 weeks so Fergus and Stig will be sending regular progress updates.
",PLEASE READ -Analysis of variance between spreadsheet VaR and  RisktRAC VaR for UK Power,"[수신자]님,

이 메일은 [프로젝트명]의 VaR 수용과 관련된 시리즈의 세 번째입니다. 이전 [일수] 동안의 기록을 참조하세요.

기본적으로 우리는 VaR 스프레드시트에서 [시스템1]으로 VaR이 이동한 것에 대한 설명을 할 수 있는 단계에 도달했습니다. 이는 주로 이름과 이름1이 수행한 좋은 작업에 근거합니다(다른 많은 사람들이 적절하게 요청되었기 때문에 팀워크가 필요했고 저도 그들에게 감사드리고 싶습니다).

전체 분석은 아래의 [이름]와 [이름1]의 메모에 포함되어 있지만 주의해야 할 핵심 사항은 다음과 같습니다. 입력 매개변수의 변경은 두 시스템 간의 VaR 숫자 차이를 부분적으로 설명하지만 완전히 설명하지는 못합니다(요인 로딩의 변경 포함). 두 시스템 간의 VaR 숫자 차이의 대부분은 [시스템2]의 체적 위치가 (1차 및 2차) 구성 요소 곡선으로 분할되어 발생합니다.

[시스템2]에서 PPP는 현재 1차 곡선으로 설정되어 있지만 포지션의 75%는 [곡선]에 있는 반면 스프레드시트에서 전체 포지션은 PPP 곡선에 반대합니다. 이제 VaR이 [시스템2]으로 이동하면서 발생한 점프를 분리하고 설명할 수 있게 되었기 때문에 이 숫자를 보고할 것입니다.

그런데 VaR 숫자가 맞는 것 같습니까? 이 숫자는 이론적이지만 이론이 [시장]에서 현실과 가까운가요? [시스템2]에서 계산한 [금액] VaR은 1일 VaR이고 방법론에 따르면 [영업일수]에 1회는 깨져야 합니다. 과거 손익 계산에 따르면 그렇지 않았으므로 감각적 검증을 통과하지 못합니다.

감사합니다.
[발신자]
[전화번호]"
